index;EER_2020;EER_2025;EER_2030;EER_2035;EER_2040;EER_2045;Prozesswaerme_2020;Prozesswaerme_2025i;Prozesswaerme_2025b;Prozesswaerme_2030i;Prozesswaerme_2030b;Prozesswaerme_2035i;Prozesswaerme_2035b;Prozesswaerme_2040i;Prozesswaerme_2040b;Prozesswaerme_2045i;Prozesswaerme_2045b;Raumwaerme_2020;Raumwaerme_2025i;Raumwaerme_2025b;Raumwaerme_2030i;Raumwaerme_2030b;Raumwaerme_2035i;Raumwaerme_2035b;Raumwaerme_2040i;Raumwaerme_2040b;Raumwaerme_2045i;Raumwaerme_2045b;Strom_2020;Strom_2025i;Strom_2025b;Strom_2030i;Strom_2030b;Strom_2035i;Strom_2035b;Strom_2040i;Strom_2040b;Strom_2045i;Strom_2045b;Klima- und Prozesskaelte_2020;Klima- und Prozesskaelte_2025i;Klima- und Prozesskaelte_2025b;Klima- und Prozesskaelte_2030i;Klima- und Prozesskaelte_2030b;Klima- und Prozesskaelte_2035i;Klima- und Prozesskaelte_2035b;Klima- und Prozesskaelte_2040i;Klima- und Prozesskaelte_2040b;Klima- und Prozesskaelte_2045i;Klima- und Prozesskaelte_2045b;Stoffl. Nutzung_2020;Stoffl. Nutzung_2025i;Stoffl. Nutzung_2025b;Stoffl. Nutzung_2030i;Stoffl. Nutzung_2030b;Stoffl. Nutzung_2035i;Stoffl. Nutzung_2035b;Stoffl. Nutzung_2040i;Stoffl. Nutzung_2040b;Stoffl. Nutzung_2045i;Stoffl. Nutzung_2045b
PtH Heizstab;0,99;0,99;0,99;0,99;0,99;0,99;12,76;21,61;19,86;30,7;27,15;36,11;30,55;41,67;34,03;47,02;45,28;2,66;2,81;2,81;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PtH Luftwaermepumpe;3,0;3,2;3,4;3,5;3,6;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,27;18,09;18,16;24,0;24,0;30,38;30,47;38,0;38,0;46,0;46,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PtH Erdwaermepumpe;2,0;2,0;2,0;2,1;2,2;2,4;0,0;0,47;0,24;0,96;0,48;1,37;0,77;1,79;1,08;2,16;2,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Solarthermie;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,14;0,0;0,29;0,0;0,37;0,13;0,45;0,27;0,43;0,43;0,0;0,9;0,91;2,0;2,0;2,46;2,46;3,0;3,0;4,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Festbrennstoffkessel;0,77;0,8;0,83;0,85;0,88;0,88;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,78;22,63;22,6;20,0;20,0;20,0;20,0;20,0;20,0;20,0;20,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Festbrennstoffkessel_1;0,88;0,88;0,88;0,88;0,88;0,88;15,91;15,95;15,95;16,0;16,0;17,35;16,31;18,74;16,63;18,78;18,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Gas;0,89;0,9;0,91;0,93;0,96;0,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;42,48;40,02;39,98;37,0;37,0;29,7;29,6;21,0;21,0;12,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Gas_1;0,93;0,94;0,95;0,95;0,96;0,98;61,35;49,24;53,07;36,8;44,57;26,37;37,55;15,68;30,36;2,3;9,68;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Wasserstoff;0,93;0,94;0,95;0,95;0,96;0,98;0,0;2,42;0,95;4,91;1,93;7,97;4,48;11,11;7,08;18,38;13,17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Heizkessel Oel;0,84;0,87;0,9;0,93;0,96;0,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,66;1,46;1,45;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
